Data Subset,Model Type,Predictors Subset,Target Variable,Highest Importance,2nd Highest Importance,3rd Highest Importance,Min Kappa,Max Kappa,Min Accuracy,Max Accuracy,Min Sensitivity,Max Sensitivity,Min Specificity,Max Specificity,Kappa Range
Bike,Logistic,All,Injured vs Non-Injured,Hit and Run,Road Surface: Unknown,"Road Surface: Wet, Weekday",-0.0028,0,0.9747,0.9762,0.9985,1,0,0,0.0028
Bike,Logistic,Infrastructural,Degree of Injury,Bike Lane,Infrastructure Present,"Sum Traffic Calming Devices, Total Watts",0,0,0.6388,0.6388,1,1,0,0,0
Bike,Logistic,Infrastructural,Fatal vs Non-Fatal,Speed Limit,Bike Lane,"Bike Lane, Infrastructure Present",0,0,0.994,0.994,0,0,1,1,0
Bike,Logistic,Infrastructural,Injured vs Non-Injured,"Speed Limit, Total Watts",Infrastructure Present,"Speed Limit, Total Watts",0,0,0.9762,0.9762,1,1,0,0,0
Bike,Random Forest,All,Degree of Injury,Total Watts,Crash Hour,Weekday,0.0445,0.0992,0.6284,0.6478,0.8925,0.9252,0.124,0.1694,0.0547
Bike,Random Forest,All,Fatal vs Non-Fatal,Drugs Involved,"Alcohol Involved, Crash Hour","Speed Limit, Total Watts",0,0,0.994,0.994,0,0,1,1,0
Bike,Random Forest,All,Injured vs Non-Injured,Total Watts,Weekday,Crash Hour,0,0,0.9762,0.9762,1,1,0,0,0
Bike,Random Forest,Infrastructural,Degree of Injury,Total Watts,Speed Limit,Sum Traffic Calming Devices,-0.0169,0.0422,0.5985,0.6239,0.8668,0.9182,0.0909,0.1364,0.0591
Bike,Random Forest,Infrastructural,Fatal vs Non-Fatal,Total Watts,Speed Limit,Sum Traffic Calming Devices,0,0,0.994,0.994,0,0,1,1,0
Bike,Random Forest,Infrastructural,Injured vs Non-Injured,Total Watts,Speed Limit,Bike Lane,-0.0053,0,0.9732,0.9762,0.9969,1,0,0,0.0053
Bike,Ridge,All,Degree of Injury,Weather Condition: Snow,Road Surface: Ice,Drugs Involved,0.0509,0.1129,0.6403,0.6627,0.9463,0.965,0.0909,0.1281,0.062
Bike,Ridge,All,Fatal vs Non-Fatal,Drugs Involved,Road Surface: Ice,Crash Speed Involved,0,0.3986,0.994,0.9955,0,0.25,0.9985,1,0.3986
Bike,Ridge,All,Injured vs Non-Injured,Road Surface: Unknown,Hit and Run,Dark- No Street Lights,0,0,0.9762,0.9762,1,1,0,0,0
Bike,Ridge,Infrastructural,Degree of Injury,Bike Lane,Infrastructure Present,Sum Traffic Calming Devices,0,0,0.6388,0.6388,1,1,0,0,0
Bike,Ridge,Infrastructural,Fatal vs Non-Fatal,"Bike Lane, Sum Traffic Calming Devices","Bike Lane, Sum Traffic Calming Devices",Infrastructure Present,0,0,0.994,0.994,0,0,1,1,0
Bike,Ridge,Infrastructural,Injured vs Non-Injured,Infrastructure Present,Bike Lane,"Speed Limit, Sum Traffic Calming Devices",0,0,0.9762,0.9762,1,1,0,0,0
Ped,LASSO,All,Degree of Injury,Marijuana Involved,Drugs Involved,Road Surface: Ice,-0.0516,0.0604,0.5528,0.603,0.8444,0.8972,0.1097,0.1603,0.112
Ped,LASSO,All,Fatal vs Non-Fatal,Marijuana Involved,Drugs Involved,Hit and Run,0.2996,0.509,0.953,0.9664,0.2069,0.3793,0.9894,0.9965,0.2094
Ped,LASSO,All,Injured vs Non-Injured,NA,NA,NA,0,0,0.9983,0.9983,1,1,0,0,0
Ped,LASSO,Infrastructural,Degree of Injury,Bike Lane,Infrastructure Present,Speed Limit,-0.0134,0.0051,0.5963,0.6047,0.9861,1,0,0.0127,0.0185
Ped,LASSO,Infrastructural,Fatal vs Non-Fatal,NA,NA,NA,0,0,0.9513,0.9513,0,0,1,1,0
Ped,LASSO,Infrastructural,Injured vs Non-Injured,NA,NA,NA,0,0,0.9983,0.9983,1,1,0,0,0
Ped,Logistic,All,Degree of Injury,Alcohol Involved,Drugs Involved,Crash Speed Involved,-0.0434,0.0662,0.5544,0.5997,0.8389,0.8806,0.1224,0.1899,0.1096
Ped,Logistic,All,Fatal vs Non-Fatal,Drugs Involved,Hit and Run,Crash Speed Involved,0.2374,0.5299,0.9513,0.9664,0.1724,0.4138,0.9877,0.9965,0.2925
Ped,Logistic,All,Injured vs Non-Injured,Hit and Run,"Crash Hour, Hit and Run",Total Watts,-0.0025,0,0.9933,0.9983,0.995,1,0,0,0.0025
Ped,Logistic,Infrastructural,Degree of Injury,"Bike Lane, Total Watts","Bike Lane, Infrastructure Present",Speed Limit,-0.0149,0.0253,0.5946,0.6114,0.9806,1,0.0042,0.0211,0.0402
Ped,Logistic,Infrastructural,Fatal vs Non-Fatal,Speed Limit,Bike Lane,Total Watts,0,0,0.9513,0.9513,0,0,1,1,0
Ped,Logistic,Infrastructural,Injured vs Non-Injured,Sum Traffic Calming Devices,Total Watts,Speed Limit,0,0,0.9983,0.9983,1,1,0,0,0
Ped,Random Forest,All,Degree of Injury,Total Watts,Crash Hour,Weekday,0.002,0.0601,0.5745,0.598,0.8583,0.8833,0.1266,0.1814,0.0581
Ped,Random Forest,All,Fatal vs Non-Fatal,Drugs Involved,Hit and Run,Crash Hour,0.1574,0.4074,0.9513,0.9631,0.1034,0.2759,0.9929,1,0.25
Ped,Random Forest,All,Injured vs Non-Injured,Sum Traffic Calming Devices,"Road Character: Driveway or Alley, Weekday","Crash Hour, Speed Limit, Sum Traffic Calming Devices, Total Watts, Weekday",0,0,0.9983,0.9983,1,1,0,0,0
Ped,Random Forest,Infrastructural,Degree of Injury,Total Watts,Speed Limit,Sum Traffic Calming Devices,0.0613,0.1233,0.5913,0.6147,0.825,0.8528,0.2025,0.2743,0.062
Ped,Random Forest,Infrastructural,Fatal vs Non-Fatal,Total Watts,Speed Limit,Sum Traffic Calming Devices,-0.0119,0,0.9446,0.9513,0,0,0.9929,1,0.0119
Ped,Random Forest,Infrastructural,Injured vs Non-Injured,Total Watts,Speed Limit,Sum Traffic Calming Devices,0,0,0.9983,0.9983,1,1,0,0,0
Ped,Ridge,All,Degree of Injury,Marijuana Involved,Drugs Involved,Road Surface: Ice,-0.0437,0.0429,0.5561,0.593,0.8472,0.8889,0.1139,0.1603,0.0866
Ped,Ridge,All,Fatal vs Non-Fatal,Marijuana Involved,Drugs Involved,Road Surface: Ice,0.2638,0.4728,0.9564,0.9648,0.1724,0.3448,0.9929,0.9965,0.209
Ped,Ridge,All,Injured vs Non-Injured,Road Surface: Unknown,Road Character: Driveway or Alley,Sum Traffic Calming Devices,0,0,0.9983,0.9983,1,1,0,0,0
Ped,Ridge,Infrastructural,Degree of Injury,Bike Lane,Infrastructure Present,Sum Traffic Calming Devices,-0.0134,0,0.5963,0.603,0.9861,1,0,0.0127,0.0134
Ped,Ridge,Infrastructural,Fatal vs Non-Fatal,Bike Lane,Sum Traffic Calming Devices,Infrastructure Present,0,0,0.9513,0.9513,0,0,1,1,0
Ped,Ridge,Infrastructural,Injured vs Non-Injured,Sum Traffic Calming Devices,"Bike Lane, Sum Traffic Calming Devices",Bike Lane,0,0,0.9983,0.9983,1,1,0,0,0
